EAN;DESCRIPCION;CLASIFICACION;CATEGORIA;PLATAFORMA;PUBLISHER
711719039648;DUALSHOCK 4 (CUH-ZCT1U 02) - WAVE BLUE - LATAM PS4;CATALOGO;Accesorio;PS4;SCEA
711719051343;MINECRAFT - LATAM PS3;CATALOGO;Juego;PS3;SCEA
711719051497;DUALSHOCK 4 (CUH-ZCT1U 03) - GLACIER WHITE - LATAM PS4;CATALOGO;Accesorio;PS4;SCEA
711719051817;THE LAST OF US REMASTERED - LATAM PS4;CATALOGO;Juego;PS4;SCEA
711719053132;UNTIL DAWN - LATAM  PS4;CATALOGO;Juego;PS4;SCEA
711719053170;BLOODBORNE - LATAM PS4;CATALOGO;Juego;PS4;SCEA
711719053293;MINECRAFT - LATAM  PS4;CATALOGO;Juego;PS4;SCEA
711719100324;DRIVECLUB - LATAM  PS4;CATALOGO;Juego;PS4;SCEA
711719100447;THE ORDER: 1886 - LATAM PS4;CATALOGO;Juego;PS4;SCEA
711719100461;INFAMOUS: SECOND SON - LATAM PS4;CATALOGO;Juego;PS4;SCEA
711719470007;DIABLO III: REAPER OF SOULS - ULTIMATE EVIL EDITION - ROLA PS4;CATALOGO;Juego;PS4;SCEA
711719501329;GOD OF WAR 3 REMASTERED - LATAM PS4;CATALOGO;Juego;PS4;SCEA
711719501381;UNCHARTED COLLECTION -  LATAM PS4;CATALOGO;Juego;PS4;SCEA
711719502579;HELLDIVERS SUPER-EARTH ULTIMATE EDITION - LATAM  PS4;CATALOGO;Juego;PS4;SCEA
711719502692;PS4 DUALSHOCK 4 (CUH-ZCT1U 05) - 20TH ANN ED GRAY - LATAM PS4;CATALOGO;Accesorio;PS4;SCEA
711719503620;DUALSHOCK 4 (CUH-ZCT1U 10) - GRAY BLUE - LATAM;CATALOGO;Accesorio;PS4;SCEA
711719812326;PS3 JGO Uncharted 2: Among Thieves;CATALOGO;Juego;PS3;SCEA
711719984757;DUALSHOCK 3 (CECHZC2M) - METALLIC BLUE LATAM PS3;CATALOGO;Accesorio;PS3;SCEA
711719990062;DUALSHOCK 3 (CECHZC2M) - BLACK LATAM PS3;CATALOGO;Accesorio;PS3;SCEA
711719990871;GOD OF WAR: ASCENSION - LATAM PS3;CATALOGO;Juego;PS3;SCEA
711719991830;THE LAST OF US - LATAM PS3;CATALOGO;Juego;PS3;SCEA
711719992189;GOD OF WAR 3 - FAVORITOS LATAM PS3;CATALOGO;Juego;PS3;SCEA
711719992226;INFAMOUS 2 (MOVE COMPATIBLE) - FAVORITOS LATAM PS3;CATALOGO;Juego;PS3;SCEA
711719992257;KILLZONE 3 (MOVE COMPATIBLE) - FAVORITOS LATAM PS3;CATALOGO;Juego;PS3;SCEA
711719992349;UNCHARTED 3: DRAKES DECEPTION - FAVORITOS LATAM PS3;CATALOGO;Juego;PS3;SCEA
711719992486;GOD OF WAR 1 & 2 COLLECTION - FAVORITOS LATAM PS3;CATALOGO;Juego;PS3;SCEA
722674120388;NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 4 - LATAM PS4;CATALOGO;Juego;PS4;BANDAI NAMCO
722674120401;SAINT SEIYA SOLDIERS SOUL -  LATAM  PS4;CATALOGO;Juego;PS4;BANDAI NAMCO
722674220248;NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 4 - LATAM XBONE;CATALOGO;Juego;XBONE;BANDAI NAMCO
