EAN,DESCRIPCION,CLASIFICACION,CATEGORIA,PLATAFORMA,PUBLISHER
711719039648,Dualshock 4 Wave Blue,CATALOGO,Accesorio,PS4,Sony Computer Entertaiment
662248916040,Final Fantasy X | X-2,CATALOGO,Juego,PS4,Square Enix
662248912264,Final Fantasy X | X-2,CATALOGO,Juego,PS3,Square Enix
G3000019,Final Fantasy XIII,CATALOGO,Juego,PS3,Sony Computer Entertaiment
887256023331,Ghost Recon Wildlands Limited Edition,CATALOGO,Juego,PS4,Ubisoft
47875771475,Ghostbusters,CATALOGO,Juego,PS4,Activision
47875771499,Ghostbusters,CATALOGO,Juego,XONE,Activision
722674120951,God Eater 2: Rage Burst,CATALOGO,Juego,PS4,Bandai Namco
711719811121,God Of War 3,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719501329,God Of War 3 Remastered,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719822929,God Of War Collection 1&2,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719990512,God Of War Omega Collection,CATALOGO,Juego,PS3,Sony Computer Entertaiment
G1098289,God Of War Origins Collection,CATALOGO,Juego,PS3,Sony Computer Entertaiment
G1099087,God Of War: Ascension,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719811428,Gran Turismo 5,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719983941,Gran Turismo 5 Xl Edition,CATALOGO,Juego,PS3,Sony Computer Entertaiment
G1099247,Gran Turismo 6,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719992479,Gran Turismo 6,CATALOGO,Juego,PS3,Sony Computer Entertaiment
47875874817,Guitar Hero Live,CATALOGO,Juego,PS3,Activision
47875876095,Guitar Hero Live,CATALOGO,Juego,PS4,Activision
47875874831,Guitar Hero Live,CATALOGO,Juego,PS4,Activision
47875874879,Guitar Hero Live,CATALOGO,Juego,XONE,Activision
47875880245,Guitar Hero Live 2 Pack SPE Bundle,CATALOGO,Juego,PS4,Activision
711719813224,Heavenly Sword,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719816423,Heavy Rain,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719828020,Heavy Rain: Director's Cut,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719502579,Helldivers Super-Earth Ultimate Edition,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719826125,High Velocity Bowling,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719503507,Horizon Zero Dawn,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719825920,Ico Shadow Of The Colossus HD Collection,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719811923,InFamous,CATALOGO,Juego,PS3,Sony Computer Entertaiment
G1099222,InFamous 2,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719829324,InFamous 2,CATALOGO,Juego,PS3,Sony Computer Entertaiment
G1010046,InFamous: Second Son,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719100461,InFamous: Second Son,CATALOGO,Juego,PS4,Sony Computer Entertaiment
G1099263,Invizimals: The Lost Kingdom,CATALOGO,Juego,PS3,Sony Computer Entertaiment
G1099223,Jak & Daxter HD Collection,CATALOGO,Juego,PS3,Sony Computer Entertainment
711719982814,Jak & Daxter HD Collection,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719992233,Jak & Daxter HD Collection,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719992509,Journey Collection,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719983774,Journey Compilation,CATALOGO,Juego,PS3,Sony Computer Entertaiment
722674120234,J-Stars Victory VS,CATALOGO,Juego,PS4,Bandai Namco
711719039303,Just Dance 3,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719811626,Killzone 2,CATALOGO,Juego,PS3,Sony Computer Entertaiment
G1099225,Killzone 3,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719828624,Killzone 3,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719992257,Killzone 3,CATALOGO,Juego,PS3,Sony Computer Entertaiment
G1010048,Killzone 4,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719990758,Killzone Trilogy,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719100485,Killzone: Shadow Fall,CATALOGO,Juego,PS4,Sony Computer Entertaiment
G1010050,Knack,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719100508,Knack,CATALOGO,Juego,PS4,Sony Computer Entertaiment
883929427406,Lego Batman 3: Beyond Gotham,CATALOGO,Juego,PS4,Warner
883929366927,Lego Marvel Super Heroes,CATALOGO,Juego,PS4,Warner
722674121323,Little Nightmares Six Edition,CATALOGO,Juego,PS4,Bandai Namco
711719824527,LittleBigPlanet 2,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719053248,LittleBigPlanet 3,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719053217,LittleBigPlanet 3,CATALOGO,Juego,PS4,Sony Computer Entertaiment
710425476723,Mafia III,CATALOGO,Juego,PS4,Take 2
711719039280,Max Payne 3,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719039167,Metal Gear Solid 4: Guns Of The Patriots,CATALOGO,Juego,PS3,Sony Computer Entertaiment
G3000349,Metal Gear Solid V: Ground Zeroes,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719051008,Metal Gear Solid V: Ground Zeroes,CATALOGO,Juego,PS4,Sony Computer Entertaiment
83717203148,Metal Gear Solid V: The Definitive Experience,CATALOGO,Juego,PS4,Konami
83717202776,Metal Gear Solid V: The Phantom Pain,CATALOGO,Juego,PS3,Konami
83717202790,Metal Gear Solid V: The Phantom Pain,CATALOGO,Juego,PS4,Konami
83717302186,Metal Gear Solid V: The Phantom Pain,CATALOGO,Juego,X360,Konami
83717301806,Metal Gear Solid V: The Phantom Pain,CATALOGO,Juego,X360,Konami
83717302162,Metal Gear Solid V: The Phantom Pain,CATALOGO,Juego,XONE,Konami
83717301820,Metal Gear Solid V: The Phantom Pain,CATALOGO,Juego,XONE,Konami
883929319695,Middle Earth:Shadow Of Mordor,CATALOGO,Juego,PS4,Warner
711719051343,Minecraft,CATALOGO,Juego,PS3,Sony Computer Entertaiment
722674120388,Naruto Shippuden: Ultimate Ninja Storm 4,CATALOGO,Juego,PS4,Bandai Namco
722674121293,Naruto Shippuden: UNS 4 Road To Boruto,CATALOGO,Juego,PS4,Bandai Namco
711719508939,NIOH,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719501480,No Man's Sky,CATALOGO,Juego,PS4,Sony Computer Entertaiment
722674120135,One Piece Burning Blood,CATALOGO,Juego,PS4,Bandai Namco
47875877627,Overwatch,CATALOGO,Juego,PS4,Activision
47875877658,Overwatch,CATALOGO,Juego,XONE,Activision
47875877672,Overwatch Collector's Edition,CATALOGO,Juego,PS4,Activision
722674121125,Pac-Man Championship Edition 2,CATALOGO,Juego,PS4,Bandai Namco
711719504733,Paragon,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719504481,Playstation Camera PS4,CATALOGO,Accesorio,PS4,Sony Computer Entertaiment
93155171558,Prey,CATALOGO,Juego,PS4,Bethesda
G3000732,Pro Evolution Soccer 2015,CATALOGO,Juego,PS4,Sony Computer Entertaiment
83717203087,Pro Evolution Soccer 2016,CATALOGO,Juego,PS3,Konami
83717203063,Pro Evolution Soccer 2016,CATALOGO,Juego,PS4,Konami
83717302094,Pro Evolution Soccer 2016,CATALOGO,Juego,XONE,Konami
83717203186,Pro Evolution Soccer 2017,CATALOGO,Juego,PS3,Konami
83717203162,Pro Evolution Soccer 2017,CATALOGO,Juego,PS4,Konami
83717302247,Pro Evolution Soccer 2017,CATALOGO,Juego,XONE,Konami
83717302278,Pro Evolution Soccer 2017,CATALOGO,Juego,X360,Konami
711719503309,PS4 500GB (Cuh-1215A) Bundle - Uncharted ND Collection,CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719505150,PS4 500GB (Cuh-1215A) Bundle - Uncharted ND Collection,CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719507178,PS4 500GB Bundle - Call of Duty Infinite Warfare Black,CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719502104,PS4 500GB Bundle HW Bundle - God Of War Remastered,CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719510086,PS4 500GB Bundle PlayStation Hits,CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719504269,PS4 500GB Bundle Slim FIFA 2017,CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719503989,PS4 500GB Bundle Slim Uncharted 4,CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719502272,PS4 500GB HW Bundle (CUH-1215A) Uncharted 4 - Limited Edition,CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719501879,PS4 500GB HW Call Of Duty Black Ops III,CATALOGO,Consola,PS4,Solutions 2 GO
711719051886,PS4 500GB Jet Black (Cuh1011A B01),CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719050513,PS4 500GB Refurbished,CATALOGO,Consola,PS4,Solutions 2 GO
711719504030,PS4 PRO 1TB,CATALOGO,Consola,PS4,Solutions 2 GO
711719504023,PS4 PRO 1TB,CATALOGO,Consola,PS4,Sony Computer Entertaiment
711719504511,PSVR Playstation VR Headset,CATALOGO,Consola,PSVR,Solutions 2 GO
887256014711,Rainbow Six Siege,CATALOGO,Juego,PS4,Ubisoft
887256014728,Rainbow Six Siege,CATALOGO,Juego,XONE,Ubisoft
711719501244,Ratchet & Clank,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719039266,Red Dead Redemption: Undead Nightmare,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719812029,Resistance 2,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719817628,Resistance 3,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719810728,Resistance: Fall Of Man,CATALOGO,Juego,PS3,Sony Computer Entertaiment
722674120081,Ride,CATALOGO,Juego,PS4,Bandai Namco
722674220071,Ride,CATALOGO,Juego,XONE,Bandai Namco
722674111911,Saint Seiya: Soldiers' Soul,CATALOGO,Juego,PS3,Bandai Namco
722674120401,Saint Seiya: Soldiers' Soul,CATALOGO,Juego,PS4,Bandai Namco
